id,title,url
pw34hwQJQmzCwP2DD,Data Cloud Catalysts - Women in Tech,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/pw34hwQJQmzCwP2DD
RapzwHFZmbjLaCWgt,Snowflake Data Superheroes: Origins,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/RapzwHFZmbjLaCWgt
fWSedtvX6yXaHa6ZT,Experian Marketing Servicesヴァイスプレジデントへのインタビュー,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/fWSedtvX6yXaHa6ZT
nLn5iyuwLaKDFTKYS,分析と業務を融合してデータドリブンな組織へ 〜クラスメソッド式　これからのデータスタックの作り方〜,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/nLn5iyuwLaKDFTKYS
uSnPPhMdJstYX5bbE,Ecosystems: クラウドで実現する次世代のイノベーション,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/uSnPPhMdJstYX5bbE
8gophLqfWNG2mMzAb,DATUM STUDIOがSnowflakeと描くデータ分析環境の未来とSnowflakeを活用したDWHマイグレーション最新事例,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/8gophLqfWNG2mMzAb
gbsykDD97NJMM8ifp,Data Cloud Summit 2020: Preshow,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/gbsykDD97NJMM8ifp
jAPE4cJe8dNKQjphr,The Rise of the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/jAPE4cJe8dNKQjphr
Q96h8vQ7GSvvhiPaP,Mobilizing Data at Disney+,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Q96h8vQ7GSvvhiPaP
FBgyS78k69atY6sFi,What's Next in the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/FBgyS78k69atY6sFi
2HqWjf9omvEB6pwhr,Logitech - Powering advanced and predictive analytics with the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/2HqWjf9omvEB6pwhr
8LyyjPdycQMZHRekL,The Vision of the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/8LyyjPdycQMZHRekL
8MADaS8swDsmX5A3i,Breaking Down Data Kingdoms for Democratized Analytics,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/8MADaS8swDsmX5A3i
GfLA26exGxt3TQ3Yh,How Total Gas & Power is Driving Digital Transformation with Informatica and Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/GfLA26exGxt3TQ3Yh
YB5ugpye95yEDcTW2,Maximizing Your Superhero Journey,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/YB5ugpye95yEDcTW2
Z2qhhPtyEaTQdNzQ6,Every App Is a Data App!,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Z2qhhPtyEaTQdNzQ6
e66cjH22mK9TygHKL,Interview with Frank Slootman: A Closer Look at the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/e66cjH22mK9TygHKL
x2TKdS9qoZtEshD2y,Continuous Data Pipelines: Foundations and Effective Implementation at Convoy,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/x2TKdS9qoZtEshD2y
Qa3JC3rSrR9jLZv5w,Fireside Chat: Innovating at Allianz Benelux with the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Qa3JC3rSrR9jLZv5w
dxhFt5gxt52x3DZN2,A Data Platform That Inspires a Data Culture,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/dxhFt5gxt52x3DZN2
49aLuRNLJ7pwxsbuz,Tech Titans and the Confluence of the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/49aLuRNLJ7pwxsbuz
a98SbpKrnuyb4M5WQ,Snowflake for Startup: Data CTOs Panel,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/a98SbpKrnuyb4M5WQ
PtN9txM5K2biNMWAA,Modernizing Your Supply Chain with Near Real-Time Cloud Analytics,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/PtN9txM5K2biNMWAA
4NLRyFQGybqydv4wn,Accelerating Analytics with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/4NLRyFQGybqydv4wn
BG2aN64DS7mcAhyH8,Building Extensible Data Pipelines with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/BG2aN64DS7mcAhyH8
TfsnhtMMbzyceMLPy,Getting Data Into the Right Hands: Your Business and Your Clients,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/TfsnhtMMbzyceMLPy
Xu6iPzvSxsBTbvfqd,High-Performance Architectures for Data Applications,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Xu6iPzvSxsBTbvfqd
